국제크루즈터미널,,,,NNP,*,T,국제크루즈터미널,*,*,*,*
감지해변,,,,NNP,*,T,감지해변,*,*,*,*
감천동편부두,,,,NNP,*,F,감천동편부두,*,*,*,*
감천항,,,,NNP,*,T,감천항,*,*,*,*
사상근린공원,,,,NNP,*,T,사상근린공원,*,*,*,*
대항선착장,,,,NNP,*,T,대항선착장,*,*,*,*
하리선착장,,,,NNP,*,T,하리선착장,*,*,*,*
가야공원,,,,NNP,*,T,가야공원,*,*,*,*
가야산책공원,,,,NNP,*,T,가야산책공원,*,*,*,*
외양포항,,,,NNP,*,T,외양포항,*,*,*,*
연태봉,,,,NNP,*,T,연태봉,*,*,*,*
정란각,,,,NNP,*,T,정란각,*,*,*,*
문화공감수정,,,,NNP,*,T,문화공감수정,*,*,*,*
가덕도대항인공동굴,,,,NNP,*,T,가덕도대항인공동굴,*,*,*,*
월전장어구이촌,,,,NNP,*,T,월전장어구이촌,*,*,*,*
금정산성 막걸리,,,,NNP,*,F,금정산성막걸리,*,*,*,*
화전공원,,,,NNP,*,T,화전공원,*,*,*,*
델타루,,,,NNP,*,F,델타루,*,*,*,*
에코델타시티 전망대,,,,NNP,*,F,에코델타시티전망대,*,*,*,*
캐니언파크,,,,NNP,*,T,캐니언파크,*,*,*,*
롯데월드,,,,NNP,*,F,롯데월드,*,*,*,*
용호별빛공원,,,,NNP,*,T,용호별빛공원,*,*,*,*
동래온천길,,,,NNP,*,T,동래온천길,*,*,*,*
온천천 산책코스,,,,NNP,*,T,온천천산책코스,*,*,*,*
해운대 그린레일웨이,,,,NNP,*,F,해운대그린레일웨이,*,*,*,*
칠드런스 뮤지엄,,,,NNP,*,T,칠드런스뮤지엄,*,*,*,*
통일아시아드공원,,,,NNP,*,T,통일아시아드공원,*,*,*,*
녹산고향동산,,,,NNP,*,T,녹산고향동산,*,*,*,*
오륙도해맞이공원,,,,NNP,*,T,오륙도해맞이공원,*,*,*,*
이기대 섭자리,,,,NNP,*,F,이기대섭자리,*,*,*,*
달맞이동산,,,,NNP,*,T,달맞이동산,*,*,*,*
대천공원,,,,NNP,*,T,대천공원,*,*,*,*
감천사,,,,NNP,*,F,감천사,*,*,*,*
국청사,,,,NNP,*,F,국청사,*,*,*,*
금수사,,,,NNP,*,F,금수사,*,*,*,*
금정선원,,,,NNP,*,T,금정선원,*,*,*,*
마하사,,,,NNP,*,F,마하사,*,*,*,*
미륵사,,,,NNP,*,F,미륵사,*,*,*,*
법륜사,,,,NNP,*,F,법륜사,*,*,*,*
소름요,,,,NNP,*,F,소름요,*,*,*,*
신세계 센텀시티,,,,NNP,*,F,신세계센텀시티,*,*,*,*
낙동강하구에코센터,,,,NNP,*,F,낙동강하구에코센터,*,*,*,*
동백섬,,,,NNP,*,T,동백섬,*,*,*,*
해운대 동백섬,,,,NNP,*,T,해운대동백섬,*,*,*,*
금정산,,,,NNP,*,T,금정산,*,*,*,*
다대포해수욕장,,,,NNP,*,T,다대포해수욕장,*,*,*,*
장안사,,,,NNP,*,F,장안사,*,*,*,*
태종사,,,,NNP,*,F,태종사,*,*,*,*
초량교회,,,,NNP,*,F,초량교회,*,*,*,*
해동 용궁사,,,,NNP,*,F,해동용궁사,*,*,*,*
중앙공원,,,,NNP,*,T,중앙공원,*,*,*,*
친환경 스카이웨이 전망대,,,,NNP,*,F,친환경스카이웨이전망대,*,*,*,*
이바구길,,,,NNP,*,F,이바구길,*,*,*,*
민주공원,,,,NNP,*,T,민주공원,*,*,*,*
태종대온천찜질방,,,,NNP,*,T,태종대온천찜질방,*,*,*,*
평화공원,,,,NNP,*,T,평화공원,*,*,*,*
공수어촌체험마을,,,,NNP,*,T,공수어촌체험마을,*,*,*,*
동래온천,,,,NNP,*,T,동래온천,*,*,*,*
동래온천 노천족탕,,,,NNP,*,T,동래온천노천족탕,*,*,*,*
금강식물원,,,,NNP,*,T,금강식물원,*,*,*,*
대변마을,,,,NNP,*,T,대변마을,*,*,*,*
영도 등대,,,,NNP,*,F,영도등대,*,*,*,*
영도대교,,,,NNP,*,F,영도대교,*,*,*,*
죽도공원,,,,NNP,*,T,죽도공원,*,*,*,*
송정 죽도공원,,,,NNP,*,T,송정죽도공원,*,*,*,*
문화공감 수정,,,,NNP,*,T,문화공감수정,*,*,*,*
수정동 일본식 가옥,,,,NNP,*,T,수정동일본식가옥,*,*,*,*
진지성,,,,NNP,*,T,진지성,*,*,*,*
진일신여학교,,,,NNP,*,F,진일신여학교,*,*,*,*
온정개건비,,,,NNP,*,F,온정개건비,*,*,*,*
해월정,,,,NNP,*,T,해월정,*,*,*,*
전포카페거리,,,,NNP,*,F,전포카페거리,*,*,*,*
임랑해수욕장,,,,NNP,*,T,임랑해수욕장,*,*,*,*
신선대,,,,NNP,*,F,신선대,*,*,*,*
오륙도 스카이워크,,,,NNP,*,F,오륙도스카이워크,*,*,*,*
대각사,,,,NNP,*,F,대각사,*,*,*,*
수리조선소길,,,,NNP,*,T,수리조선소길,*,*,*,*
당산,,,,NNP,*,T,당산,*,*,*,*
관수옥과 초량왜관 터,,,,NNP,*,F,관수옥과초량왜관터,*,*,*,*
이기대,,,,NNP,*,F,이기대,*,*,*,*
기장향교,,,,NNP,*,F,기장향교,*,*,*,*
용두산,,,,NNP,*,F,용두산,*,*,*,*
용두산 자갈치 관광특구,,,,NNP,*,F,용두산자갈치관광특구,*,*,*,*
삼진어묵체험관,,,,NNP,*,T,삼진어묵체험관,*,*,*,*
삼진어묵체험역사관,,,,NNP,*,T,삼진어묵체험역사관,*,*,*,*
대저생태공원,,,,NNP,*,T,대저생태공원,*,*,*,*
봉래산,,,,NNP,*,T,봉래산,*,*,*,*
영화체험박물관,,,,NNP,*,T,영화체험박물관,*,*,*,*
차량융합기술단,,,,NNP,*,T,차량융합기술단,*,*,*,*
철도차량정비단,,,,NNP,*,T,철도차량정비단,*,*,*,*
만들숲,,,,NNP,*,T,만들숲,*,*,*,*
낙동강문화관,,,,NNP,*,T,낙동강문화관,*,*,*,*
청사포,,,,NNP,*,F,청사포,*,*,*,*
청사포 다릿돌전망대,,,,NNP,*,F,청사포다릿돌전망대,*,*,*,*
산복도로,,,,NNP,*,F,산복도로,*,*,*,*
동래읍성지,,,,NNP,*,F,동래읍성지,*,*,*,*
아미르공원,,,,NNP,*,T,아미르공원,*,*,*,*
구포만세거리,,,,NNP,*,F,구포만세거리,*,*,*,*
시민공원,,,,NNP,*,T,시민공원,*,*,*,*
백양산 웰빙숲,,,,NNP,*,T,백양산웰빙숲,*,*,*,*
KT&G 상상마당,,,,NNP,*,T,KT&G상상마당,*,*,*,*
송도용궁구름다리,,,,NNP,*,F,송도용궁구름다리,*,*,*,*
해운대리버크루즈,,,,NNP,*,F,해운대리버크루즈,*,*,*,*
성지곡수원지,,,,NNP,*,F,성지곡수원지,*,*,*,*
가덕도 연대봉,,,,NNP,*,T,가덕도연대봉,*,*,*,*
용소웰빙공원,,,,NNP,*,T,용소웰빙공원,*,*,*,*
물빛색스튜디오,,,,NNP,*,F,물빛색스튜디오,*,*,*,*
대저수문 생태공원,,,,NNP,*,T,대저수문생태공원,*,*,*,*
비석문화마을,,,,NNP,*,T,비석문화마을,*,*,*,*
닥밭골 벽화마을,,,,NNP,*,T,닥밭골벽화마을,*,*,*,*
해동성취사,,,,NNP,*,F,해동성취사,*,*,*,*
노지캠핑,,,,NNP,*,F,노지캠핑,*,*,*,*
해광사,,,,NNP,*,F,해광사,*,*,*,*
학리항,,,,NNP,*,T,학리항,*,*,*,*
학리방파제,,,,NNP,*,T,학리방파제,*,*,*,*
칠암항,,,,NNP,*,T,칠암항,*,*,*,*
젖병등대,,,,NNP,*,F,젖병등대,*,*,*,*
옥정사,,,,NNP,*,F,옥정사,*,*,*,*
이동항,,,,NNP,*,T,이동항,*,*,*,*
묘관음사,,,,NNP,*,F,묘관음사,*,*,*,*
감만시민공원,,,,NNP,*,T,감만시민공원,*,*,*,*
누리바라기전망대,,,,NNP,*,F,누리바라기전망대,*,*,*,*
만덕고개,,,,NNP,*,F,만덕고개,*,*,*,*
만덕고개 누리길,,,,NNP,*,F,만덕고개누리길,*,*,*,*
만덕고개 누리길 전망데크,,,,NNP,*,F,만덕고개누리길전망데크,*,*,*,*
울림공원,,,,NNP,*,T,울림공원,*,*,*,*
신호공원,,,,NNP,*,T,신호공원,*,*,*,*
온천천시민공원,,,,NNP,*,T,온천천시민공원,*,*,*,*
보람공원,,,,NNP,*,T,보람공원,*,*,*,*
명지동근린공원,,,,NNP,*,T,명지동근린공원,*,*,*,*
밀락더마켓,,,,NNP,*,T,밀락더마켓,*,*,*,*
성암사,,,,NNP,*,F,성암사,*,*,*,*
안적사,,,,NNP,*,F,안적사,*,*,*,*
약수암,,,,NNP,*,T,약수암,*,*,*,*
운수사,,,,NNP,*,F,운수사,*,*,*,*
조방해수탕,,,,NNP,*,T,조방해수탕,*,*,*,*
혜원정사,,,,NNP,*,F,혜원정사,*,*,*,*
중앙해수랜드,,,,NNP,*,F,중앙해수랜드,*,*,*,*
스파랜드,,,,NNP,*,F,스파랜드,*,*,*,*
스파랜드 센텀시티,,,,NNP,*,F,스파랜드센텀시티,*,*,*,*
다대포,,,,NNP,*,F,다대포,*,*,*,*
다대포 꿈의 낙조분수,,,,NNP,*,F,다대포꿈의낙조분수,*,*,*,*
내원정사,,,,NNP,*,F,내원정사,*,*,*,*
어촌민속관,,,,NNP,*,T,어촌민속관,*,*,*,*
가톨릭센터,,,,NNP,*,F,가톨릭센터,*,*,*,*
박물관,,,,NNP,*,T,박물관,*,*,*,*
정인갤러리,,,,NNP,*,F,정인갤러리,*,*,*,*
추리문학관,,,,NNP,*,T,추리문학관,*,*,*,*
복천박물관,,,,NNP,*,T,복천박물관,*,*,*,*
백산기념관,,,,NNP,*,T,백산기념관,*,*,*,*
시립미술관,,,,NNP,*,T,시립미술관,*,*,*,*
구덕 민속예술관,,,,NNP,*,T,구덕민속예술관,*,*,*,*
수영민속예술관,,,,NNP,*,T,수영민속예술관,*,*,*,*
강서문화원,,,,NNP,*,T,강서문화원,*,*,*,*
해양자연사박물관,,,,NNP,*,T,해양자연사박물관,*,*,*,*
한광미술관,,,,NNP,*,T,한광미술관,*,*,*,*
수산과학관,,,,NNP,*,T,수산과학관,*,*,*,*
공간화랑,,,,NNP,*,T,공간화랑,*,*,*,*
세관박물관,,,,NNP,*,T,세관박물관,*,*,*,*
40계단 문화관,,,,NNP,*,T,40계단문화관,*,*,*,*
벡스코,,,,NNP,*,F,벡스코,*,*,*,*
BEXCO,,,,NNP,*,F,BEXCO,*,*,*,*
자유회관,,,,NNP,*,T,자유회관,*,*,*,*
통일관,,,,NNP,*,T,통일관,*,*,*,*
부전도서관,,,,NNP,*,T,부전도서관,*,*,*,*
사하도서관,,,,NNP,*,T,사하도서관,*,*,*,*
해운대도서관,,,,NNP,*,T,해운대도서관,*,*,*,*
동삼동패총전시관,,,,NNP,*,T,동삼동패총전시관,*,*,*,*
영도도서관,,,,NNP,*,T,영도도서관,*,*,*,*
중앙도서관,,,,NNP,*,T,중앙도서관,*,*,*,*
점자도서관,,,,NNP,*,T,점자도서관,*,*,*,*
국립국악원,,,,NNP,*,T,국립국악원,*,*,*,*
오륜대 한국순교자박물관,,,,NNP,*,T,오륜대한국순교자박물관,*,*,*,*
과학기술대학교 민속자료실,,,,NNP,*,T,과학기술대학교민속자료실,*,*,*,*
임시수도기념관,,,,NNP,*,T,임시수도기념관,*,*,*,*
우장춘기념관,,,,NNP,*,T,우장춘기념관,*,*,*,*
조선통신사역사관,,,,NNP,*,T,조선통신사역사관,*,*,*,*
국립해양박물관,,,,NNP,*,T,국립해양박물관,*,*,*,*
트릭아이뮤지엄,,,,NNP,*,T,트릭아이뮤지엄,*,*,*,*
누리마루 APEC하우스,,,,NNP,*,F,누리마루APEC하우스,*,*,*,*
킴스아트필드미술관,,,,NNP,*,T,킴스아트필드미술관,*,*,*,*
요산문학관,,,,NNP,*,T,요산문학관,*,*,*,*
이바구공작소,,,,NNP,*,F,이바구공작소,*,*,*,*
해양환경공단 해양환경교육원,,,,NNP,*,T,해양환경공단해양환경교육원,*,*,*,*
한국기독교선교박물관,,,,NNP,*,T,한국기독교선교박물관,*,*,*,*
국립일제강제동원역사관,,,,NNP,*,T,국립일제강제동원역사관,*,*,*,*
범어사,,,,NNP,*,F,범어사,*,*,*,*
범어사 성보박물관,,,,NNP,*,T,범어사성보박물관,*,*,*,*
정관박물관,,,,NNP,*,T,정관박물관,*,*,*,*
유엔평화기념관,,,,NNP,*,T,유엔평화기념관,*,*,*,*
스마트시티 전시관,,,,NNP,*,T,스마트시티전시관,*,*,*,*
현대미술관,,,,NNP,*,T,현대미술관,*,*,*,*
SEA LIFE 아쿠아리움,,,,NNP,*,T,SEALIFE아쿠아리움,*,*,*,*
씨 라이프,,,,NNP,*,F,씨라이프,*,*,*,*
국립과학관,,,,NNP,*,T,국립과학관,*,*,*,*
뮤지엄 원,,,,NNP,*,T,뮤지엄원,*,*,*,*
피아크,,,,NNP,*,F,피아크,*,*,*,*
P.ARK,,,,NNP,*,F,P.ARK,*,*,*,*
현대모터스튜디오,,,,NNP,*,F,현대모터스튜디오,*,*,*,*
영도 조내기 고구마 역사기념관,,,,NNP,*,T,영도조내기고구마역사기념관,*,*,*,*
고구마 역사기념관,,,,NNP,*,T,고구마역사기념관,*,*,*,*
놀이마루,,,,NNP,*,F,놀이마루,*,*,*,*
아난티코브 야외공연장,,,,NNP,*,T,아난티코브야외공연장,*,*,*,*
아난티코브,,,,NNP,*,F,아난티코브,*,*,*,*
서면미술관,,,,NNP,*,T,서면미술관,*,*,*,*
아레아식스,,,,NNP,*,F,아레아식스,*,*,*,*
AREA6,,,,NNP,*,T,AREA6,*,*,*,*
근대역사관,,,,NNP,*,T,근대역사관,*,*,*,*
한국신발관,,,,NNP,*,T,한국신발관,*,*,*,*
모노플렉스 오시리아,,,,NNP,*,F,모노플렉스오시리아,*,*,*,*
창비,,,,NNP,*,F,창비,*,*,*,*
박태준기념관,,,,NNP,*,T,박태준기념관,*,*,*,*
갤러리 ERD,,,,NNP,*,F,갤러리ERD,*,*,*,*
브릭캠퍼스,,,,NNP,*,F,브릭캠퍼스,*,*,*,*
센텀시티 아이스링크,,,,NNP,*,F,센텀시티아이스링크,*,*,*,*
용호동일대 바다낚시,,,,NNP,*,F,용호동일대바다낚시,*,*,*,*
해운대일대,,,,NNP,*,F,해운대일대,*,*,*,*
태종대일대,,,,NNP,*,F,태종대일대,*,*,*,*
수영만 요트경기장,,,,NNP,*,T,수영만요트경기장,*,*,*,*
아시아드주경기장,,,,NNP,*,T,아시아드주경기장,*,*,*,*
스포원파크 경륜장,,,,NNP,*,T,스포원파크경륜장,*,*,*,*
영도관광사격장,,,,NNP,*,T,영도관광사격장,*,*,*,*
다대 실내수영장,,,,NNP,*,T,다대실내수영장,*,*,*,*
갈맷길,,,,NNP,*,T,갈맷길,*,*,*,*
